role_id,company,job_title,location,published_date,source_url,requirement_id,requirement_area,requirement_summary
SOT-PS-001,Sotheby's,"Seller Operations Coordinator, Private Sales",Hong Kong,,https://job-boards.greenhouse.io/sothebys/jobs/6092229004,SOT-01,operations,"Coordinate the operational execution of private sales across the sale cycle."
SOT-PS-001,Sotheby's,"Seller Operations Coordinator, Private Sales",Hong Kong,,https://job-boards.greenhouse.io/sothebys/jobs/6092229004,SOT-02,client_service,"Resolve client enquiries and issues while executing client transactions."
SOT-PS-001,Sotheby's,"Seller Operations Coordinator, Private Sales",Hong Kong,,https://job-boards.greenhouse.io/sothebys/jobs/6092229004,SOT-03,compliance,"Maintain required legal and compliance documentation, including consignment and transaction records."
SOT-PS-001,Sotheby's,"Seller Operations Coordinator, Private Sales",Hong Kong,,https://job-boards.greenhouse.io/sothebys/jobs/6092229004,SOT-04,operations,"Coordinate authentication, third-party reviews, photography, shipping, inventory and post-sale activity."
SOT-PS-001,Sotheby's,"Seller Operations Coordinator, Private Sales",Hong Kong,,https://job-boards.greenhouse.io/sothebys/jobs/6092229004,SOT-05,experience,"One to three years of business administration, operations and/or client-service experience."
SOT-PS-001,Sotheby's,"Seller Operations Coordinator, Private Sales",Hong Kong,,https://job-boards.greenhouse.io/sothebys/jobs/6092229004,SOT-06,data,"Proficiency with MS Word, Outlook, Excel and general familiarity with database management."
SOT-PS-001,Sotheby's,"Seller Operations Coordinator, Private Sales",Hong Kong,,https://job-boards.greenhouse.io/sothebys/jobs/6092229004,SOT-07,languages,"Fluency in English, Cantonese and Mandarin, including reading and writing Traditional Chinese."
PHI-JW-326,Phillips,"Specialist, Jewellery",Geneva,2026-07-07,https://www.phillips.com/careers/326/zh,PHI-01,jewellery_market,"Deep knowledge of the international jewellery market, including gemstones, signed jewels and important collections."
PHI-JW-326,Phillips,"Specialist, Jewellery",Geneva,2026-07-07,https://www.phillips.com/careers/326/zh,PHI-02,valuation,"Prepare valuations, consignment proposals and strategic presentations for major collections."
PHI-JW-326,Phillips,"Specialist, Jewellery",Geneva,2026-07-07,https://www.phillips.com/careers/326/zh,PHI-03,network,"Maintain an established network of collectors, dealers, family offices, advisers and institutions."
PHI-JW-326,Phillips,"Specialist, Jewellery",Geneva,2026-07-07,https://www.phillips.com/careers/326/zh,PHI-04,experience,"Five or more years in a specialist role at an international auction house or recognised jewellery business."
PHI-JW-326,Phillips,"Specialist, Jewellery",Geneva,2026-07-07,https://www.phillips.com/careers/326/zh,PHI-05,qualification,"GIA, FGA or an equivalent professional qualification."
PHI-JW-326,Phillips,"Specialist, Jewellery",Geneva,2026-07-07,https://www.phillips.com/careers/326/zh,PHI-06,languages,"Fluency in English and French; additional European languages are desirable."
PHI-JW-326,Phillips,"Specialist, Jewellery",Geneva,2026-07-07,https://www.phillips.com/careers/326/zh,PHI-07,business_development,"Source property, generate new business and lead a European sourcing strategy."
PHI-JW-326,Phillips,"Specialist, Jewellery",Geneva,2026-07-07,https://www.phillips.com/careers/326/zh,PHI-08,leadership,"Lead and mentor a small team while delivering commercial results."
PHI-JW-326,Phillips,"Specialist, Jewellery",Geneva,2026-07-07,https://www.phillips.com/careers/326/zh,PHI-09,presentation,"Communicate, present and negotiate confidently with sophisticated international clients."
